R_0,immune %,T_infectious,T_incubation,p_I_to_C%,p_C_to_D%,T_I_to_C,T_C_to_R,T_C_to_D,peak E,peak I,peak R,peak C,max D,total IFR
2.6,5.6000000000000005,11.6,5.43,3.9,27.0,6.74,14.74,7.72,7642.031824256837,14457.46307490341,85298.05564486148,907.2483659619231,2368.8692264082465,2.7020758719389555
1.79,5.5,8.22,5.18,3.8,39.2,6.96,15.88,5.4,3815.500913600309,5848.132109455419,66150.49934961674,279.0948783927387,1987.2582291446067,2.9154649159644195
4.91,6.2,10.72,5.89,4.2,33.300000000000004,9.6,12.47,5.92,19443.473685914603,27795.786894270143,96559.64448603644,955.3731730113814,2366.6037518382213,2.392269909844351
3.37,6.5,9.11,5.96,4.8,32.1,5.78,14.02,6.3,13668.836075569432,18023.522669322687,90915.41104436945,1331.5992781607222,3566.0122029463364,3.7742653813630436
2.38,5.800000000000001,10.86,6.91,5.800000000000001,25.1,10.16,12.86,6.35,7928.027675595614,11612.733990419838,82891.96528558593,642.4565303627624,2122.149992828581,2.4960609092359336
4.83,6.1,11.21,7.05,7.1,35.0,10.77,13.36,6.63,20448.25862266236,26168.622637792265,95065.22094267303,1475.4202837253806,3790.7532775310574,3.834594182824819
3.42,5.4,11.24,7.89,6.5,25.900000000000002,6.71,15.06,7.43,14472.93399424838,17597.352317969515,90589.84109667882,1810.194220185668,4095.4307829058416,4.325278235934104
1.77,6.6000000000000005,11.24,4.89,5.6000000000000005,36.4,7.1,15.94,7.87,2592.2502220825227,5605.331977968865,59625.9093252767,497.7863856592538,2842.910498973878,4.507137287088291
5.54,6.9,11.5,7.36,2.7,36.4,6.87,14.96,5.84,22940.833268206075,27774.65145149554,96726.12730177422,900.2288038215172,2621.708183857981,2.638899816545544
1.85,6.0,8.96,3.31,3.3000000000000003,36.4,11.17,14.64,8.38,3051.208511241952,7939.673739908348,70336.19070527249,253.39114041707407,949.5323358574241,1.331921662957266
4.96,5.7,11.05,4.54,3.6999999999999997,27.700000000000003,7.61,14.12,7.56,16912.806317307364,30692.285072836607,96764.50441890927,1356.4674210831988,2180.8001589989617,2.20402070191274
5.32,5.7,10.44,7.61,4.6,27.700000000000003,11.69,13.69,8.04,23929.100549817937,26485.025280010865,97712.51148658666,985.2020215619979,1619.0343019261418,1.6299186230504095
5.03,5.0,11.95,6.09,6.3,29.5,7.64,13.65,7.16,19132.79635205038,28395.21335407296,94782.02612509383,2120.9419288708045,4178.692210694715,4.222540692933526
3.49,6.2,10.96,3.45,3.3000000000000003,33.6,5.38,14.83,8.74,9395.349845390976,23761.919143014315,92212.35248429765,1456.4156170994238,2854.7430003771647,3.0028238160507286
4.71,6.5,11.29,7.68,5.4,30.599999999999998,7.33,15.37,8.31,20342.939497662577,24088.545120322444,94947.58393791206,1820.810895990299,3576.611812856531,3.630161741228995
4.11,6.4,8.01,7.4,5.4,28.299999999999997,9.31,14.9,5.63,20716.82196934901,19741.111574060338,95399.6634042329,995.4987204281349,2337.561208516135,2.39166263662013
5.53,5.4,9.59,6.95,3.0,25.2,9.54,12.22,7.97,24665.524962485084,27074.76933873168,98428.00279124704,746.5841852739247,1021.3639066658806,1.0270114139455235
1.86,6.9,11.47,7.36,4.7,27.400000000000002,5.89,15.84,6.26,3768.010388549039,5481.320707453712,59922.80159315362,476.233671795612,2606.770985568703,4.076201243732393
4.93,5.0,11.15,5.2,5.6000000000000005,25.0,6.52,14.43,5.35,17918.832029638907,28775.250213395655,94524.8261152365,2092.810896671359,4309.6204758021095,4.360399993106202
5.72,6.0,10.63,3.4,4.9,26.700000000000003,12.13,14.46,5.42,16980.654310936105,36792.39230694627,97421.99501112581,1155.216730554539,2119.462898903963,2.129193308352237
